"사례 일련번호","제목","내용","수리유형","수리유형명","등록자 id","회원구분","회원구분명","시공업체","업체 연락처_1","업체 연락처_2","업체 연락처_3","작성일","메인노출여부"
"621","집수리 성공기","저는 서울시 집수리 주말반 교육을 듣고 있는 수강생입니다.  평소 인테리어 & 집수리에 관심이 많아 집안을 조금씩 수리했던 경험이 있는데요.  이번 서울시에서 진행한 집수리 아카데미 교육을 받으면서 더 전문적이고, 세세한 부분까지 배울 수 있었습니다.  기본 공구 상식부터 목공, 설비, 타일, 전기 등 모든 수업 내용이 알찼고, 실습 하나 하나 헛된 시간이 없었습니다.  소중한 교육을 준비해주신 희망둥지협동조합 강사님들과 담당 관계자분께 감사를 표합니다.  아직 실력은 미흡하나, 차후에 집수리 봉사단 운영을 하신다면 적극 참여할 생각입니다.   감사합니다.","S","자가수리","kyoungju","G","일반회원","본인","010","2977","5220","202412220056","N"
"643","집수리 기초반","집수리 교육에서 샤워수전 설치 실습을 했습니다. 설치한 새 수전을 보니 뿌듯하네요.  강사님의 친절한 설명과 시연 덕분에 직접 설치 적용해 볼 수 있었습니다. 공구 사용법부터 수평 맞추는 방법까지, 꼼꼼하게 배울 수 있었어요. 다음주가 벌써 마지막 주라 아쉽습니다.   마지막까지 타일시공, 도기설치도 잘 배워야 겠습니다. ","S","자가수리","road44444","G","일반회원","집수리아카데미","","","","202504042306","N"
"646","집수리 기초 수강 후기","집수리 기초 수업 듣고 문 손잡이 작업을 할수 있게 되었습니다 강사님들이 쉽게 가르쳐 주셔서 어려움 없이 직접 설치 가능하였습니다 감사합니다 ","S","자가수리","swyoon1031","G","일반회원","","","","","202504091649","N"
"681","욕실 욕조수전 교체","설비 - 우당탕탕 욕실 수전 교체2  욕조 수전을 잠궈도 입구에서 물이 똑똑똑 떨어지고 있음을 인식하면서도- 두세달을 흐린 눈으로 모른 척 지냈습니다.  2025년 2회차, 집수리 아카데미 심화반을 수강하면서 배운것을 활용해 직접 교체해보자는 의욕이 솟아났습니다.  1.   양수기 함 수도꼭지 밸브를 잠근다. (안 잠그면 물바다!) 2.   기존 수도 해체시 녹과 테프론테이프가 엉겨서 분해가 안될 수 있으니 충분히 윤활제를 뿌려둔다. (확 돌려서 수도관 파손되지 않게) 3.   주변 타일이 깨지지 않도록 몽키스패너로 기존수전을 분리한다. (벽 타일이 우지직 금가지 않게) 4.   서비스 니플과 편심을 연결할 때 테프론테이프로 충분히 감는다. 이 때, 배관구멍을 막지 않게 주의한다. (부족하게 감으면 누수될수 있음) 5.  수도관에 12시, 9시 방향으로 편심을 준비하고, 본체를 결착한다. 6. 양수기함 밸브를 열어 물이 잘 나오는지 누수되진않는지 확인한다.  백문이 불여일견.   수업시간에 분명 강사님의 능숙하고 매끄러운 시연을 눈으로 보고 깨끗하고 흠없는 새 수전으로 실습해보며 자세한 피드백을 받았지만, 실전은 예상과 달랐습니다.    누후화되어 뻑뻑한 수도관을 분해하면서 타일 뒤쪽으로 물이 콸콸콸 흘러 들어가거나, 벽타일이 깨지거나 등 미숙함으로 인한 변수들이 있어 심장이 쿵쾅거리고 좌절감도 느꼈습니다.  “괜히 손대는 건 아닌가 + 내가 건드려서 돈이 더 많이 들면 어떡하지”    회전수 계산착오로 편심이 비록 180도로 누웠지만, 누수없고 좌우 수평도 맞게 수도 교체를 완성하여 뿌듯했습니다.   일상에서 활용할 수 있는 유용한 지식을 열정적으로, 친절하게 가르쳐주셔서 희망둥지 협동조합 강사님들께 매시간 감사합니다.  유익한 강의를 제공해주시는 서울시에도 감사드립니다.  수업이 얼마 남지않아 아쉽습니다. 남은시간도 잘 배워서 업그레이드 해보겠습니다!","S","자가수리","happycsb","G","일반회원","","","","","202505122101","N"
"601","설비- 세면대 수도꼭지+팝업+하수배관 교체","설비-우당탕탕 욕실 수전 교체  세면대 하부에서 지속적으로 물이 떨어져 욕실바닥이 흥건했습니다. 수업시간에 배운대로 양쪽 급수밸브를 잠그니 물이떨어지지 않았습니다. 수도꼭지로 올라가는 관과 조절관이 노후되어 누수가 발생한것으로 생각이 되어 근처 철물점에 가서 사장님께 상황을 말씀드리며 조언을 구했습니다. 수도꼭지(수전),자동팝업,P하수배관 을 사와서 성공적으로 조립했습니다.  초보 주의사항 - 기존수도꼭지 해체시 녹이많이 슬어있을 경우 윤활제를 뿌려 풀리기쉽게만든다 - P배관은 현장상황에 맞게 그라인더등으로 커팅해야한다.    사실 이모든 과정이 하루만에 끝난 것은 아닙니다. 문제인식(일요일)부터 문제해결(금요일밤)까지 예상치못한 난관과 시행착오를 거쳐 철물점 3회 방문을 포함해 6일이 걸렸습니다.   [수업시간에 배운대로 내가 직접 고쳐써보자 - 역시 전문가를 불러야겠어 - 이것만 풀고 철물점 사장님께 물어보자 -이건 왜 길이가 안맞지 잘못사왔나 - 설명서대로 조립했는데 왜 또 물이 새지 - 드디어 내가 해냈다]    집수리 아카데미 이전에는 공구한번 제대로 쥐어본 기억도 없었는데, 이번 기초반 수업을 들으면서 전동드릴과 몽키스패너도 구매하고, 낡은 집에 살면서 참고살던 불편했던 부분을 스스로 해결하는 시간을 보냈습니다. 마음가짐이 바뀌어서 좋고, 세상을 이해하는 시야가 한층더 넓어진 것 같아서 감사한 마음입니다.  기회가 된다면, 집수리아카데미 심화반 수업도 꼭 듣고싶습니다. 양질의 강의를 해주신 희망둥지협동조합 강사님들께 감사드리며ㅡ우당탕탕 집수리는 계속 도전하겠습니다^^ ","S","자가수리","happycsb","G","일반회원","","","","","202412210932","N"
"421","30년된 복도식 아파트 전체 리모델링","작년에 어렵게 새집을 장만하였습니다. 30가까이된 복도식 아파트이고, 인테리어 업체를 아는데가 없어서 소개를 받아서 인테리어를 진행하게 되었습니다. 가장 중요한것은 샤시와 단열이었고, 곰팡이와 결로도 굉장히 심했었습니다.  처음에 집을 보고나서는 너무 대책이 안서서, 밤잠도 설치고 그랬네요...ㅎㅎㅎ  공사기간은 넉넉하게 1달정도 소요되었고, 샤시교체/ 단열공사/ 시스템에어컨 설치 / 붙박이장 /싱크대 모두 교체/ 바닥은 강마루/ 화장실 올수리등/ 그리고 가장 마음에 들었던 벽지는 이름은 까먹었는데 너무나 특이하고, 두꺼워서 이런 벽지도 있었나 싶었습니다. 암튼 인테리어 사장님께 감사드리고, 집을 볼때마다 뿌듯합니다.    ","E","업체수리","jor0401","G","일반회원","주옥례","02","2282","5607","202204071536","N"
"661","집수리 심화반 수강 후기","심화반 통해 교육 받은 도배 작업을 배웠는데 집에서도 셀프 할수 있게되서 너무 좋습니다  강사님들 너무 친철하게 다 알려주시고 도와주셔  감사합니다 ","S","자가수리","swyoon1031","G","일반회원","","","","","202505121224","N"
"662","집수리 심화반 수강후기 및 LED등 교체","작년에 희망둥지협동조합 강사님들에게 집수리 기초반을 듣고 실생활에 필요한 지식을 조금이나마 알게되고 이해하게 되어 올해 심화반 강의를 꼭 듣고싶었는데 마침 기회가 되어 심화반 교육을 현재 듣고 있습니다.  6회차에 전기/조명 시공 수업을 들었는데, 자신감이 생겨 예전부터 안정기의 문제가 있던 화장실 형광등을 교체해보고자 바로 LED등을 샀습니다. 예전 같으면 형광등만 교체하는걸로 끝났을텐데 교육을 받으니 안정기를 교체해서 쓸지 LED등을 바꿔서 달지 행복한 고민을 할 수 있어 너무 좋았습니다. 형광등 안정기 교체보다 LED등을 교체해서 쓰는게 좋을꺼 같아 2개의 화장실 등을 바꿔보았습니다.  집수리에 관심이 있다면 꼭 기초반과 심화반을 다  듣는 것을 추천합니다 :) 희망둥지협동조합 강사님들 덕에 작은 집수리 정도는 내 손으로 할 수 있겠다는 자신감이 생겼습니다 :) ","S","자가수리","lhn0312","G","일반회원","","","","","202505130415","N"
"301","불광동 집수리","불광동 오래된  다가구  2룸  주방쪽 확장  샤시교체 주방 씽크 화장실 현관문 방문 신발장 도배 장판 등기구 공사 하였음","E","업체수리","limseon","G","일반회원","임인선","010","4155","3891","202103091255","Y"
"481","시골 오래된 단층주택 옥상 방수공사","시골집 방수공사 ","S","자가수리","kwgo1285","G","일반회원","","","","","202210041741","N"
"541","식탁. 화장실수납장 시트지 교체","서울시  집수리 아카데미  기초과정을 받고 있습니다. 1차부터 신청했는데 경쟁률이 워낙 치열해서 5회차에 드디어 받을 수 있게 되었어요. 집수리에 필요한 공구사용부터 목공.전기.시트지.설비 등 다양한 커리큘럼으로 기초적인 교육을 받고 있습니다. 시트지 수리 교육을 받고 나니 집에 있는 식탁에 눈길이 가더라고요. 마음에 드는 시트지  구입 후. 배운대로 가로x세로 길이 재고. 여유분까지 체크한 후 작업에 돌입~~ 시트지 교체 완료!! 완성입니다. 이것에 힘입어  조금 난이도 있는 화징실 수납장까지 도전 하였습니다. 내손으로 저렴한 비용에 깔끔하게 완성된 식탁과 화장실 수납장을 볼때마다 뿌듯하네요. 가르쳐 주신 희망둥지협동조합 선생님들 감사합니다. 심화과정도 신청해야겠어요. ㅎㅎ","S","자가수리","byorun","G","일반회원","","","","","202412131700","N"
"642","이론과 실기의 콜라보","젊은 강사님들의 열정적이며 성의있는 강의로 이론과 실습을  내실있게 배우고  체험할 수 있는 교육입니다. 여태껏 한번도 보지 못했던 공구들도 많이 있네요. 벌써 교육과정이 3/4을 자났다니 아쉬움도 많습니다. 기회가 주어진다면 심화과정도 기대가 되네요. ","S","자가수리","sbm6103","G","일반회원","","","","","202504021728","N"
"645","집수리 기초반 수강후기","실거주집 인테리어를 위해 집수리 관련 이론 및 실기를 경험해보고 싶어 신청하게 되었습니다.  인테리어 턴키 업체에서 문손잡이 비용만 개당 7만원을 불렀는데 수업을 통해 직접 자가수리하게 되어 비용을 아낄 수 있었습니다  심화반도 신청해보려 합니다 강사진분들 자세히 열심히 알려주셔서 감사드립니다! ","S","자가수리","mitinmit","G","일반회원","본인","010","1111","3581","202504080955","N"
"501","미니 싱크장 만들기","집수리는 아니지만 어디에 올려야 할지 몰라서 여기 게시판에 올려봅니다 싱크장이 부족해서 작은 장 만들어 보았습니다 도와주신 교수 강사님들 모두 너무 감사드립니다","S","자가수리","kjhnamu","G","일반회원","","","","","202305201220","N"
"401","대리석만 활용해도 집안분위기를 바꿀수 있습니다.","  집수리를 하면서    전에 경험해보지 못했던 아름다움까지 추가된다면   그것만큼 더 행복한것은 없겠지요...   중국산 타일/자재들과는 비교불문...   현대L&amp;C는 한국 세종시에 공장에서 직접 생산한 제품들로   국산에서 원가경쟁력을 가지고 리바트, 한샘, 에넥스, 영림 등 대형가구사를 중심으로   일반소비자까지 직접 판매를 하기때문에 집수리에 활용할 수 있습니다.      대형세대/다가구/다세대 견적 및 칼라문의: rickkim@hyundailnc.com 현대엘엔씨 본사","E","업체수리","yoonzays","G","일반회원","현대L&amp;C","0507","1388","0425","202201160711","N"
"521","수전과 타일 부분 교체!","수전 교체와 타일 교체를 시도해봤습니다. 많이 미흡하지만 개인적으로는 만족스럽네요 ^^ 보수도 보수지만 재료 사는 게 일이구나 싶기도 합니다 ㅎ 타일은 비슷한 색상 찾는다고 찾아 인터넷으로 주문했는데 전혀 다른 색상이 왔네요 ㅎㅎ 화면으로 보는 것과 실물 차이가 있다곤 하지만 엄청난 괴리감이 있을 수 있음을 한번 배웠습니다. 타일은 직접 가서 비교 구매해야 좋을 듯 합니다 ㅎ 아무튼 구매한 김에 그냥 포인트라 생각하고 붙였습니다. 실패할지도 모른다는 생각에 가장 저렴한 제품들 구매해서 시도해봤는 데 다음에는 조금 더 비싼 제품 구매해서 사용해봐도 좋겠다 싶네요 ㅎㅎ 수전과 타일 교체하는 데 5만원도 안들었네요. 집수리 교육 받고자 계획하고 계신다면 꼭! 교육 신청하셔서 배우시면 좋을 것 같습니다.","S","자가수리","bks135","G","일반회원","","","","","202408231648","N"
"562","세면대 수전 교체","안녕하세요! 서울시  집수리 교육 기초과정을 현재 수강하고 있습니다. 6일차에 샤워용 수전교체를 교육을 받고  세면대 수전 아랫부분이 녹이 슬어 물이 새고 있던 것이 생각나 원홀 수전을 사서 교체해 보았습니다. 집수리 관련해서 전반적인 내용을 강사님과 선생님이 자상하고 친절하게 교육해주셔서 초보자들도 손쉽게 교체하거나 수리 할 수 있습니다! 집수리 관련하여 관심 있으신 분들은 이 강의를 적극 추천합니다 :)","S","자가수리","lhn0312","G","일반회원","","","","","202412170206","N"
"564","주방 배수구 배관 교체","집수리 월화반 수업을 듣고 있는 학생입니다! 주방 배수구 파손으로 수업 때 들었던 내용을 되새기며 철물점에 가서 필요한 재료를 구입! 파손 된 부품을 교체 완료 했습니다:)  강사님께서 알려주신 방법으로 해보니  척척 진행이 되었습니다!!   집수리 교육 최고입니다! ","S","자가수리","liguun","G","일반회원","이상경","010","5555","5777","202412171403","N"
"644","집수리 성공기 ! ","며칠 전, 임차인의 요청으로 콘센트와 현관문 앞 센서등 교체 작업을 진행했습니다. 이번 작업을 하면서 서울시 집수리닷컴 교육에서 배운 콘센트와 전등의 배선 원리가 정말 큰 도움이 되었습니다.  예전에는 단순히 선의 색깔과 위치만 외워서 교체했었는데, 이제는 배선 구조와 전기 흐름을 이해하고 작업하다 보니, 같은 교체 작업도 훨씬 더 쉽고 정확하게 마칠 수 있었습니다.  '알고 하는 것과 모르고 하는 것의 차이' 이걸 직접 몸으로 느낀 소중한 경험이었어요.  앞으로도 이런 작은 성공 경험을 하나씩 쌓아가면서, 더 다양한 집수리 기술을 익히게 될 것을 기대하고 있습니다. 좋은 교육 기회를 제공해주셔서 감사합니다.","S","자가수리","hyuyck17","G","일반회원","","","","","202504070237","N"
"701","집수리 _창고수리","서울집수리 기초반을거쳐 심화반을 수강하는동안에 배운내용을기반으로 창고를 수리 하고 있습니다  목상걸기, 전기, 석고보드 시공등이며 마무리까지잘 하도록하겠습니다  감사합니다 ","S","자가수리","road44444","G","일반회원","","","","","202505180940","N"
