연번,명칭,도로명,지번,건물명,구분,설치위치,공구보유현황,대여가능시간,대여한도,대여금액,대여기간,전화번호
11,신월6동주민센터,서울특별시 양천구 남부순환로83길 53 (신월동),신월동 1078-1,신월6동주민센터,공구대여 - 주민센터,1층 민원실,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4160
12,신월7동주민센터,서울특별시 양천구 남부순환로70길 16-3 (신월동),신월동 962-10,신월7동주민센터,공구대여 - 주민센터,1층 복지상담실,스프링청소기/몽키스패너(대/중)/유선드릴/무선드릴/샌더기/직소기/에어타카/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4175
13,신정1동주민센터,서울특별시 양천구 중앙로32길 1 (신정동),신정동 1051-11,신정1동주민센터,공구대여 - 주민센터,1층 복도,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4193
14,신정2동주민센터,서울특별시 양천구 목동동로 154 (신정동),신정동 329-9,신정2동주민센터,공구대여 - 주민센터,1층 민원실,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4222
15,신정3동주민센터,서울특별시 양천구 중앙로 209 (신정동),신정동 1263,신정3동주민센터,공구대여 - 주민센터,1층 로비,스프링청소기/몽키스패너(대/중)/유선드릴/무선드릴/샌더기/콤프레셔/직소기/에어타카/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4248
16,신정4동주민센터,서울특별시 양천구 오목로34길 5 (신정동),신정동 949-5,신정4동주민센터,공구대여 - 주민센터,1층 민원실,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4269
17,신정6동주민센터,서울특별시 양천구 목동서로 353 (신정동),신정동 322-9,신정6동주민센터,공구대여 - 주민센터,1층 민원실,스프링청소기/렌치세트/몽키스패너(대/중)/유선드릴/무선드릴/샌더기/에어타카/에어건/직소기/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4295
18,신정7동주민센터,서울특별시 양천구 목동동로 37 (신정동),신정동 324-5,신정7동주민센터,공구대여 - 주민센터,1층 민원실,전동무선드릴/직소기/전동해머드릴/샌더기/디스크그라인더/첼라/몽키스패너(대)/L형렌치세트/볼트커터/전기릴선/니퍼/빠루/가정용사다리/수평계/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2620-4318
19,목동종합사회복지관,서울특별시 양천구 목동중앙북로8길 104 (목동),목동 552-1,목동종합사회복지회관,공구대여 - 사회복지관,3층 공구대여소,망치(대/중/소)/에어타카/무선드릴/유선드릴/파이프렌치(18인치/14인치/12인치)/몽키스패너(대/중/소)/스프링청소기/직소기/샌더기/건타카/타일커터기/펜치/니퍼/다목적가위/전선릴/가정용공구세트/렌치세트/줄자/그라인더/콤프레샤/고압세척기/휴대용사다리/접이식카트,평일 09:00~18:00/토요일 10:00~17:00,1인 3종,무료,3일,02-2651-2332
20,신월종합사회복지관,서울특별시 양천구 신월로24길 19 (신월동),신월동 1063-1,신월종합사회복지관,공구대여 - 사회복지관,1층 로비,줄자/렌치세트/가정용공구세트/전선릴/줄톱/망치(대/중/소)/전지용가위/파이프렌치(대/중)/니퍼/펜치/몽키스패너(중/소)/타일커터기/샌더기/직소기/콤프레샤/유선드릴/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,070-4755-3702
21,한빛종합사회복지관,서울특별시 양천구 신월로11길 16 (신월동),신월동 540-1,한빛종합사회복지관,공구대여 - 사회복지관,3층 도서관,줄자/렌치세트/가정용공구세트/전선릴/줄톱/망치(대/중/소)/전지용가위/다목적가위/파이프렌치(대/중/소)/니퍼/펜치/몽키스패너(대/중/소)/타일커터기/스프링청소기/샌더기/직소기/유선드릴/에어타카/콤프레샤/무선드릴/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2690-8762
22,신정종합사회복지관,서울특별시 양천구 신정중앙로 36 (신정동),신정동 919-6,신정종합사회복지관,공구대여 - 사회복지관,1층 로비,몽키스패너(대/중/소)/타일커터기/타카/스프링청소기/샌더기/직소기/에어타카/콤프레샤/전동드릴/줄자/L형렌치세트/콤비네이션렌치세트/가정용공구세트/전선릴/줄톱/망치(대/중/소)/전지용양손가위/다목적가위/파이프렌치(대/중/소)/니퍼/펜치/무선드릴/에어건/에어호스/전기검정기/수평계/실리콘건/정밀드라이버세트/유선전기톱/가정용절단기/복스세트/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2603-1792
23,신목종합사회복지관,서울특별시 양천구 신목로 5 (신정동),신정동 1278-1,신목종합사회복지관,공구대여 - 사회복지관,1층 로비,줄자/콤비네이션렌치세트/L형렌치세트/가정용공구세트/줄톱/망치(대/중/소)/전지용양손가위/다목적가위/파이프렌치(대/중/소)/니퍼/펜치/타일커터기/타가/스프링청소기/샌더기/무선드릴/에어타카/콤프레샤/유선드릴/만능작업대/예초기/몽키스패너(대/중/소)/가정용사다리/아이젠(대/중/소)/접이식카트,평일 09:00~18:00,1인 3종,무료,3일,02-2643-7222
24,양천창업지원센터,"서울특별시 양천구 신정로7길 75 (신정동,이든채)",신정동 1320-8,이든채,공구대여 - 편의시설,지하1층 공구대여소,유선드릴/무선드릴/샌더기/에어건/콤프레셔/직소기/에어타카/가정용공구세트/몽키스패너(대/중)/타카/줄톱/스프링청소기/롱로즈/니퍼/펜치/볼트커터/전기그라인더/비트세트/콤비네이션렌치/첼라/접이식카트,화-토 10:00~22:00/일 10:00~17:00/월요일 휴무,1인 3종,무료,3일,02-2604-1471
