"시공업체 일련번호","업체명","사업자등록번호","개업일자","대표자","업체연락처","사업종목","보유면허","주요시공분야","행정동코드","업체주소"
"1383","다율이앤씨(주)","873-81-02763","2022-08-01","신명철","02-998-3053","소방시설공사, 기계설비공사, 보일러공사","가스시설시공업제2종, 난방시공업제2종","방수공사,단열공사,급배수위생설비공사,난방설비공사(보일러)","1132010700","서울특별시 도봉구 덕릉로63길 112 1층"
"1382","대림건축","210-04-96800","2001-03-12","박철수","02-3491-8494","시설물유지관리공사","온수보일러시공기능사, 방수기능사, ","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1132010600","서울특별시 도봉구 방학로2길 54 1층"
"1381","정성공사","210-01-17328","2013-10-07","최영희","02-3676-0404","가스시공업, 건물철거업, 난방시공업, 인테리어","난방시공업제2종, 가스시설시공업제3종","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),조명공사","1130510100","서울특별시 강북구 삼양로20길 45 1층"
"1373","(주)헤미","643-86-03225","2023-11-05","최민주","02-704-0161","실내건축공사업","실내건축공사업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),조명공사","1138010800","서울특별시 은평구 진흥로7길 26 1층 103호"
"1372","씨에스인테리어","206-08-58649","2000-07-26","이창성","02-3437-3535","인테리어","-","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1121510100","서울특별시 광진구 긴고랑로47길 11 202호"
"1371","주식회사 비앤오코퍼레이션(방수119)","140-81-97030","2018-07-01","배택진","02-511-1716","건설업(미장, 타일, 방수공사)","-","방수공사","1168010700","서울특별시 강남구 강남대로160길 23-4 지하1층"
"1361","동방인테리어","281-27-01982","2025-01-02","김환길","","인테리어, 상하수도 공사","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러),조명공사","1121510500","서울특별시 광진구 자양로6길 17 1층 코너호"
"1351","홈리본(Home Re-Born)","569-48-00743","2022-07-04","김영우","","도배, 실내장식 및 내장목공사업","없음","방수공사,단열공사,수장공사(도배,마감공사)","1159010200","서울특별시 동작구 국사봉길 141 상가1층"
"1341","마루스페이스(주)","101-86-14102","2005-04-18","이기태","02-742-7077","실내건축","건축기사1급","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1111017300","서울특별시 종로구 명륜7길 21 1층"
"1331","집수리통","593-08-02243","2023-02-14","이정훈","02-1544-0870","집수리","집수리사, 온수온돌기능사, 방수기능사, 가스안전관리자, 싱크대상판수리사, 대리석타일수리사","방수공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1154510100","서울특별시 금천구 가산디지털1로 168 B동 지하1츨 116호"
"1321","서우테크","421-23-01490","2023-04-20","조현우","","홈오토,CCTV외,도배,방수,설비","없음","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,수장공사(도배,마감공사),난방설비공사(보일러),전기(배관/배선)공사,조명공사","1132010500","서울특별시 도봉구 우이천로48길 9 1층 105호"
"1311","보람건축","210-18-81089","2010-03-29","소정수","","창호 및 샷시공사","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1132010500","서울특별시 도봉구 노해로 226 1층"
"1301","적정기술공방 주식회사","278-88-01269","2019-02-15","정의웅","02-388-9959","주택수리교육, 주택수리건설","실내건축공사업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1138010400","서울특별시 은평구 갈현로19길 9-8 1층"
"1291","정도건축","584-27-01445","2024-07-23","김소정","02-6372-0494","인테리어, 목공, 도장, 방수","건축기사, 건축목공기능사, 건축도장기능사, 방수기능사","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),조명공사","1141010500","서울특별시 서대문구 독립문로14길 66 103호"
"1282","(주)장식가","543-87-00279","2016-01-16","이영규","02-3411-8400","실내건축공사, 건축자재판매, 전문디자인","방수기능사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1168010500","서울특별시 강남구 삼성로126길 6 보고재빌딩 지하1층"
"1281","(주)서진아이앤티","351-88-01303","2019-05-17","민재윤","02-3471-3200","도배, 실내장식 및 내장 목공사업","석공사업","방수공사,목공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사)","1150010500","서울특별시 강서구 공항대로 227 마곡센트럴 1차 1002호"
"1272","(주)기연기업","741-81-00089","2015-04-08","천병일","02-795-8070","기계설비, 냉난방","가스시설시공업 제1종, 난방시공업 제1종","급배수위생설비공사,난방설비공사(보일러)","1117010100","서울특별시 용산구 두텁바위로 53-7 103호"
"1271","하나개발","116-46-80331","2016-05-09","손찬수","02-2060-1951","방수공사(건당 1500만원 미만)","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1153010600","서울특별시 구로구 고척로55길 40 102호"
"1262","부리디자인(BURI DESIGN)","405-07-35663","2021-05-27","이경목","","실내장식","도장기능사","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1129010300","서울특별시 성북구 성북로4길 52 스카이프라자 상가 서관 508호"
"1261","주식회사 청림종합건설","375-86-02890","2023-07-26","이희복","02-743-7341","인테리어, 건축공사업","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,타일공사,도장공사,수장공사(도배,마감공사),기타(철거)","1111016700","서울특별시 종로구 율곡로 251-1 1층"
"1252","(주)호세산업개발","204-81-95715","2006-02-09","장영주","02-2246-0636","미장, 방수, 조적, 타일, 도장, 석공사","미장기능사, 방수기능사","방수공사,목공사,타일공사,도장공사","1126010100","서울특별시 중랑구 면목로 368 4층"
"1251","생활설비 인테리어","409-47-03010","2019-08-26","이선희","02-6487-7084","인테리어","없음","목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1153010300","서울특별시 구로구 디지털로27길 73 1층"
"1241","동양기업","109-12-63815","2011-02-04","염찬열","02-2601-8970"," 건설업, 도소매업","창호금속공사, 서비스, 건축자재","금속공사,지붕 및 홈통공사,창호 및 유리공사","1150010300","서울특별시 강서구 화곡로18길 9 1층 2호"
"1232","영진종합설비공사","204-04-57345","2000-05-22","이상춘","02-491-8941","시설물유지공사, 위생도기, 보일러","없음","방수공사,목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사","1126010100","서울특별시 중랑구 봉우재로14길 19 1층"
"1231","미가건축인테리어","210-01-87824","2011-03-28","정진군","02-959-5611","인테리어, 잡철, 창호","건축목공기능사보","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러),조명공사","1130510100","서울특별시 강북구 솔매로45길 43 1층"
"1223","에스테이트","490-21-01911","2023-07-24","임미애","","실내인테리어","없음","목공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러),전기(배관/배선)공사,조명공사","1168010100","서울특별시 강남구 언주로89길 9 3층 3호"
"1222","창성종합공사","624-08-00665","2017-08-24","임창기","02-516-2614","인테리어, 기타서비스업","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,도장공사,수장공사(도배,마감공사),난방설비공사(보일러)","1165010800","서울특별시 서초구 명달로20길 45 1층"
"1216","창성기공","713-62-00588","2022-07-29","이상식","","배관, 난방공사","가스안전관리자격증(온수보일러시공자)","단열공사","1117013000","서울특별시 용산구 회나무로 28 1층"
"1215","방수청건설","643-58-00676","2023-06-01","이명주","02-400-2323","미장, 타일, 방수, 공사업","건축도장기능사","방수공사,타일공사,도장공사","1171010800","서울특별시 송파구 송이로32길 22 103호"
"1214","대원난방","110-19-08882","1988-09-27","김종남","02-737-2693","건설업","설비","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1111018700","서울특별시 종로구 통일로12길 45 1층"
"1213","삼호인테리어","156-55-00604","2021-02-17","손경애","02-435-5331","인테리어","없음","방수공사,도장공사,단열공사","1126010100","서울특별시 중랑구 겸재로3길 22 1층 103호"
"1212","루미너스313","767-20-00038","2015-03-13","최승혁","","미장타일방수, 내장, 목공사업","방수기능사, 실내건축기사","방수공사,목공사,타일공사,단열공사","1120010200","서울특별시 성동구 왕십리로31가길 24 3층"
"1211","신영건축","354-25-01796","2024-03-26","신종필","","인테리어","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1130510300","서울특별시 강북구 인수봉로 198 1층 좌측호"
"1203","(주)티피디자인","204-86-43639","2013-06-26","신인희","02-3296-4073","실내장식, 습식방수","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1126010400","서울특별시 중랑구 동일로156길 27 1층"
"1202","한옥3D","742-38-00451","2018-10-18","윤재선","","3d제작, 인테리어, 건물수리","없음","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1123010400","서울특별시 동대문구 한천로43길 8-20 1층"
"1201","강북인테리어","210-19-96648","2011-04-01","이선주","","건축인테리어, 배관설치공사","난방시공업제2종","방수공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1130510300","서울특별시 강북구 삼양로123길 55 1층"
"1195","(주)신우존","436-88-02530","2021-12-27","강대우","","도배, 실내장식 및 내장목공사업","방수기능사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1138010100","서울특별시 은평구 은평터널로 64 상가동 201호"
"1194","(주)현대데코디자인","211-88-68267","2011-11-07","최성완","02-542-2676","인테리어, 실내장식","없음","창호 및 유리공사,단열공사","1168010800","서울특별시 강남구 학동로23길 22 204호"
"1193","버드디자인","721-14-02738","2024-03-25","김옥희","","도배, 실내장식 및 내장목공사업","없음","목공사,수장공사(도배,마감공사)","1165010600","서울특별시 서초구 강남대로93길 15 4층1호"
"1192","(주)대성지퍼스트","206-86-22120","2008-01-10","양희중","02-467-7774","도장공사, 인테리어, 페인트, 건설자재","건설기술등록증","방수공사,도장공사","1121510100","서울특별시 광진구 긴고랑로1길 12 1층"
"1191","제일종합설비","110-06-42819","2001-09-20","조봉수","02-303-2891","가스, 난방","온수온돌기능사","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1141011900","서울특별시 서대문구 거북골로16길 8 1층"
"1182","대성종합인테리어","348-54-00088","2016-01-01","조동철","02-2249-5330","난방설비, 위생설비, 방수, 도배, 장판, 자재철거","난방시공업 제2종 등 기타","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1123010600","서울특별시 동대문구 사가정로25길 17 1층"
"1181","플러스더하기","206-31-88710","2014-07-16","곽기련","02-493-3255","도배, 실내장식 및 내장목공사업","없음","목공사,창호 및 유리공사,타일공사,단열공사,기타(인테리어)","1126010100","서울특별시 중랑구 면목로 274 1층"
"1176","주식회사서문건설","799-88-00490","2017-02-13","김상일","","건축공사업 외","없음","목공사,금속공사,창호 및 유리공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),조명공사","1123010600","서울특별시 동대문구 천호대로83길 3 지하2층"
"1175","유진종합공사","110-10-86212","2004-12-31","박은경","02-354-9136","철물, 창호공사","없음","목공사,금속공사,창호 및 유리공사","1138010300","서울특별시 은평구 통일로78길 24 B01호"
"1174","주식회사에이치와이건축","176-86-03254","2024-01-26","유현혜,홍경표","070-7640-7934","실내건축공사","실내건축공사업","목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,도장공사,단열공사,수장공사(도배,마감공사),난방설비공사(보일러)","1130510300","서울특별시 강북구 인수봉로 254 1층"
"1172","디자인올림인테리어","171-12-02491","2023-11-20","조일상","070-4647-2122","도배, 실내장식 및 내장목공사업","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사,기타(철거)","1123010600","서울특별시 동대문구 답십리로72길 46 2층 15호"
"1171","(주)득제종합건설","252-87-01222","2018-10-18","차하일","070-7680-2314","건설업","건축공사업","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1162010100","서울특별시 관악구 봉천로15길 29 1동 301호"
"1166","사과나무인테리어","105-18-84858","2012-02-13","이영우","02-703-0477","인테리어, 건설자재","없음","방수공사,목공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,전기(배관/배선)공사,조명공사","1144011100","서울특별시 마포구 대흥로9길 4 1층"
"1164","알플랜(RPLAN)","393-35-00559","2019-07-01","이정환","02-730-1288","인테리어","없음","창호 및 유리공사,조명공사,기타(설계, 디자인, 감리)","1111010100","서울특별시 종로구 자하문로 106-3 지층"
"1163","공간디자인 지구","478-08-02774","2024-01-29","김가령","","그 외 기타 건축마무리 공사업","없음","목공사,창호 및 유리공사,수장공사(도배,마감공사)","1153010200","서울특별시 구로구 새말로9길 45 지층 34,35호"
"1162","마성종합설비","520-14-02310","2023-11-27","김종필","520-14-0231","가스, 난방공사업","난방공사(제2종)","방수공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),조명공사,기타(종합시공)","1156012300","서울특별시 영등포구 선유로3길 19-1 지층 B101호"
"1161","용테리어","333-88-02828","2023-12-06","이용석","02-3452-0086","실내인테리어","실내건축공사업","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1168010600","서울특별시 강남구 남부순환로 2936 108-2호"
"1151","주식회사더몽","768-81-01064","2018-05-03","나윤도","02-498-2375","실내장식","없음","방수공사,목공사,금속공사,지붕 및 홈통공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러),전기(배관/배선)공사,조명공사","1120010500","서울특별시 성동구 마장로39길 31 5층"
"1149","태양샷시","519-19-01387","2021-03-31","정봉식","","샷시, 인테리어공사","없음","창호 및 유리공사","1130510200","서울특별시 강북구 오현로25다길 1 지하층2호"
"1148","대진설비","424-06-02943","2024-02-01","김희주","","타일및방수공사업, 창호및유리공사, 단열공사(경미한공사)","없음","방수공사,목공사,금속공사,창호 및 유리공사,타일공사,도장공사,단열공사,수장공사(도배,마감공사),급배수위생설비공사,난방설비공사(보일러)","1120012200","서울특별시 성동구 용답중앙길 47 1층"
"1147","한도타일도기","551-49-00996","2022-12-30","강유정","02-433-1975","타일, 위생기와, 인테리어, 위생기 외","없음","목공사,창호 및 유리공사,타일공사,도장공사,수장공사(도배,마감공사)","1126010300","서울특별시 중랑구 봉화산로 61 정신빌딩 1층"
